"","Term","Ont","N","DE","P.DE"
"GO:0004984","olfactory receptor activity","MF",427,242,1.02026814187368e-250
"GO:0004930","G protein-coupled receptor activity","MF",866,253,7.53407254757483e-173
"GO:0004888","transmembrane signaling receptor activity","MF",1277,260,2.4266410240654e-135
"GO:0038023","signaling receptor activity","MF",1484,264,1.79589322622851e-122
"GO:0060089","molecular transducer activity","MF",1538,264,1.60440538309522e-118
"GO:0005549","odorant binding","MF",102,66,2.36064292960834e-71
