"","Term","Ont","N","DE","P.DE"
"GO:0003677","DNA binding","MF",2518,228,0.00000000000000000000000000000000016426311304024
"GO:0003676","nucleic acid binding","MF",4349,324,0.000000000000000000000000000000000451374176903191
"GO:1901363","heterocyclic compound binding","MF",6241,413,0.000000000000000000000000000000000505064694391658
"GO:0097159","organic cyclic compound binding","MF",6328,415,0.00000000000000000000000000000000266962327928261
"GO:0003700","DNA-binding transcription factor activity","MF",1699,175,0.0000000000000000000000000000000147277342832035
"GO:0140110","transcription regulator activity","MF",2053,194,0.000000000000000000000000000000287638801067598
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF",1600,164,0.00000000000000000000000000000389616819925958
