"","Term","Ont","N","DE","P.DE"
"GO:0004984","olfactory receptor activity","MF",427,240,3.39537991968347e-266
"GO:0004930","G protein-coupled receptor activity","MF",866,252,7.15961564274802e-191
"GO:0004888","transmembrane signaling receptor activity","MF",1277,256,5.09178449609909e-150
"GO:0038023","signaling receptor activity","MF",1484,260,2.07346201114239e-137
"GO:0060089","molecular transducer activity","MF",1538,260,2.04508914904111e-133
"GO:0005549","odorant binding","MF",102,63,2.13277497288496e-70
