trait,#000000,#0000cd,#0000FF,#004C54,#008080,#00bfff,#00fa9a,#00ff00,#00FF00,#00ff7f,#00ffff,#32cd32,#40e0d0,#4169e1,#4b0082,#565A5C,#66cdaa,#7f007f,#7fff00,#7fffd4,#800080,#8a2be2,#8b0000,#8fbc8f,#9370db,#964B00,#9932cc,#b03060,#ba55d3,#c0c0c0,#d2691e,#d8bfd8,#daa520,#dc143c,#dda0dd,#deb887,#f4a460,#fa8072,#FF0000,#ff00ff,#ff4500,#ff7f50,#ff8c00,#FFA500,#FFC0CB,#ffd700,#ffff00,#FFFF00
uc.1,0.0014139740770081311,-0.08747391754051151,-0.062004743209772575,0.27588989466852065,-0.18323578293128998,0.03641753583337526,0.09733003774456778,0.03654436967369455,0.15892593861765392,0.0014220728826547045,0.07540222386088496,0.009691010069250201,0.07459940928266857,0.09443274881558174,0.23444938356980838,0.06714358444204703,0.06628757719729568,0.04156543954733329,0.004870587585890427,-0.010601552364029612,0.12853344263100588,0.17911525670085632,0.012085953560682212,0.1464676603996139,0.017279018939399746,-0.02932975521404711,0.16287946428536407,0.04305287369852342,0.117926845946773,0.11150919185550681,0.0045594384555897715,0.06500225907726619,0.06702424826021636,0.22410955613778064,0.07697333807161477,0.06350124159942819,0.08130584333078086,0.1447650450249259,0.3939641966091116,0.0619094789045805,0.0800564470763148,0.0321923046414539,0.05527900388556833,0.11946922133662102,0.3009507654203651,0.13719071108223443,0.0018681660234899553,0.2664319323624833
uc.10,0.058686165197265786,0.10097381999064751,-0.34029694001486516,0.2925113920020979,-0.18986134017246,0.13526189500123684,0.01702111952115943,-0.2412824933820365,-0.23867401673648336,0.28202134533075374,0.22466516553130256,0.11211714797056481,0.07271597253788249,0.09088362696345637,0.28677480250745097,0.07228641110880521,-0.023493509010177663,0.06592053357374272,-0.0041430744281492505,0.01115629811645606,0.13118500655933074,0.07702242866875932,0.0021542143550208233,0.052834663607565606,0.07367346336127117,-0.008639301395316573,0.19891879678788396,0.04552097615897849,0.07236507305278057,0.1384847039926473,0.06718218309945356,0.09783426298673405,0.07413342410259564,0.26819847445246847,0.07833961285515613,0.09337461762754568,0.11468114278245728,0.10825959316868634,0.4804323799132951,0.08665730648710111,0.169780385522617,0.03070066714133808,0.11378350781319373,0.35783366380232906,0.033452261772111386,0.19028978770720198,0.04042909612831154,0.33291662686094015
uc.100,0.04524416747740036,0.014804715203812076,-0.3185764864962569,0.25480337096008765,-0.2015320996251842,0.058840680090881316,0.018094904703158714,-0.25810715263337997,-0.2615384961715872,0.06427439457600857,0.31974889760983766,0.1254831276931215,0.13493687894113215,0.19905875937084425,0.5518891592434464,0.13084491757771785,0.04342922634531203,0.25365451090545627,0.060073917606310034,-0.012256622577728178,0.289046805088143,0.17303621071567854,0.11928034124704587,0.11586586684390383,0.18171696239542323,-0.04205172598181848,0.1475291590070895,0.039345504417695666,0.060291874581107276,0.21003722661279509,0.09209127076091345,0.27600162107106024,0.20150739217524055,0.4482945824677429,0.19727243519475507,0.10619700847100103,0.20630458030551563,0.1873145933761867,0.7118694027194712,0.18683805216154828,0.23162403618584593,0.1808525918593147,0.18917041359945483,0.3244729769373865,-0.016681126573827837,0.24186117647387467,0.08047928124470108,0.5711949650601874
uc.101,-0.06257612774193311,-0.05098011462497254,-0.666802938337569,0.8363325414349886,-0.37100179086814794,0.02220617197888816,0.12219630552073216,-0.33499388193396895,-0.2984820712884924,-0.02356390886447614,-0.033028024620730026,-0.03501319767547291,0.051077383326576735,0.06402616342128285,0.253882003045173,0.10192379152232006,-0.023803058309953617,0.08641838080678915,-0.005296064718694538,0.08119126450518765,0.19173164653818237,0.0603024972203274,-0.017005414810231552,0.17586696396561202,0.05602379982395513,-0.09447499577056567,0.18265773103055885,0.03574593714479313,0.15735592063937343,0.22665945708873614,0.028380975763422984,0.10789661607788976,-8.497000191851178e-4,0.3066906452128885,0.2017883262422933,-0.007839385051471113,0.045279365690294435,0.11243463953136446,0.4698868664684393,0.004964711906407478,0.057159652773230804,0.019972963107566334,0.024811402643760597,0.35812628188415124,0.5706186648849025,0.14748461785508435,-0.016920306840893552,0.31965548054151344
uc.102,-0.028219282361534516,6.836679607743131e-4,-0.3820773403626727,0.5662780717742775,-0.3295730845702157,0.05085625298122341,0.1450790590147422,-0.1253207267481736,0.009352666953068037,0.006032819563629891,0.1022717690667911,0.021659595976275828,0.04463270764986667,0.08056541212588177,0.28310000680834907,0.13046278229580655,0.0804971499716289,0.05539469770918697,0.002150479712393582,0.030046326040058434,0.11727592147152648,0.11403392389790216,-0.02032220039857144,0.26151160345379787,0.05027631339174672,-0.08038748367264102,0.14748249312587838,0.07539549326929804,0.08554097173948157,0.168122218111523,0.04558338929118153,0.07784961531884202,0.09671943342560956,0.23922464166766264,0.10145867894723586,0.049723092188839864,0.09858584171885887,0.15706146526557652,0.5563141404122542,0.07571918707832449,0.07910311036590187,0.029844210469017286,0.12085406095841453,0.4321757537081745,0.4765930891586394,0.18835064875216925,0.011019713590036933,0.2914179195920228
uc.103,-0.012651585451703171,-0.04052853073971639,-0.25823881988197017,0.42358373477784,-0.2777191477813788,0.04483061099527146,0.10238586071614861,-0.08252367163886615,0.05216240603791484,-0.02084391400033919,0.14565697495724544,0.023500604923998424,0.05721732925650654,0.11492476092651696,0.29514735948332294,0.09243588652697142,0.05554687628469794,0.06568282492543133,0.010492075079280891,-0.0074704580341338365,0.1447893957134908,0.1279594068246539,-0.01372619478516879,0.2801505415381055,0.06574894023009989,-0.061962598610157044,0.15591875389267298,0.03936846641516547,0.056851394990491556,0.15353741750395625,0.040705129231468205,0.10160061069133206,0.11311985902729457,0.23488373273746418,0.11263547634815572,0.0492147574930964,0.1272178345924716,0.12800075487654738,0.5415665672807424,0.0984642689227953,0.09621922980513929,0.056090914826724673,0.14377011440327372,0.32196733751583184,0.38651973369540416,0.16711170445982385,0.024161013220443804,0.296424116108269
uc.104,-0.012397331234905325,-0.04075494488508733,-0.25789919075185525,0.42339891519519585,-0.27742393519206543,0.04481980899930835,0.10180375199319171,-0.08207831936413938,0.05250041790066298,-0.021048911267122272,0.1441410931618423,0.02333725266438924,0.05599783676538117,0.11468458009502201,0.29363842660645323,0.09191588210193599,0.05521854465756802,0.06527442212682406,0.01038955121528547,-0.00722962659766232,0.1449841650206546,0.1276607037634201,-0.013924859921360928,0.2796964688224463,0.06495804305459271,-0.06104853929089719,0.15573087680329958,0.03926982708403906,0.05695094118167695,0.1533924026131468,0.04118438844314892,0.10124391275255192,0.11272819711324836,0.23441236054706258,0.11258724716552215,0.0492049840839128,0.12681094271677817,0.12777670010071634,0.540777482546849,0.09811677451384779,0.09583462842135634,0.05470756848728703,0.1436355086046752,0.3214471605481366,0.38675245578848066,0.16674408665917598,0.01834031953635339,0.2960548086973319
uc.105,-0.037499371982005314,-0.05923395245771656,-0.33448269411517073,0.5526618669451414,-0.31084525681506503,0.030195186592703874,0.14715137061715974,-0.07336765586432463,0.07508155702594903,-0.037194341459521316,0.056139925214169516,-0.004334546941933562,0.03565024196422871,0.06952332703525346,0.238456982548264,0.10743270942419883,0.060915045521283386,0.043189727847467684,0.001222853832966624,0.02378616355950973,0.11293395310856386,0.0951458765512505,-0.019887461931099467,0.2570964831727398,0.04614394928298051,-0.07438174658386232,0.13818178856431762,0.046103105092097606,0.06471287685813819,0.14034091588310788,0.020777779509244493,0.0527472877553211,0.08006236674670984,0.1876574445123611,0.10737307061809612,0.033019380874350884,0.08691723506402954,0.12716870906447053,0.4697578258346122,0.057953763466685106,0.05909879959839645,0.022341128841205656,0.10743325075635055,0.30978592668032423,0.5511314527059691,0.1370550171460215,-0.007289886130031653,0.23190602931982263
uc.106,-0.002372947031147926,-0.04989181574042583,-0.2433090763546856,0.4343738760694096,-0.27520869141453247,0.053770796882835876,0.12360616292054702,-0.07606256663079938,0.06430374789919895,-0.01797689917920609,0.1620014838683832,0.043863391764520115,0.08328163800945945,0.10854861591455961,0.3245411060520793,0.11475865726869582,0.07702066678029283,0.07866418507385878,0.011284180877569144,-0.019414582981901435,0.12499000448458153,0.14114658926507603,-0.0030012341245979294,0.25150253811065276,0.08609962036792604,-0.05004122757583613,0.15137009357432307,0.055002902547824924,0.06744100267020321,0.15720822217080746,0.06684358815349746,0.10104342485423905,0.1246969416373901,0.21791453941718325,0.11617505150467192,0.06475662689971176,0.09662677961266077,0.16019632188492527,0.5480941103333371,0.1049148851867099,0.12146237309884107,0.06560644789518204,0.14725531806630437,0.2805913216262598,0.41311974127214796,0.1815910013774896,0.03035577054894048,0.30031415104737846
uc.107,0.0070529731513856355,0.0077558130980288475,-0.2030964134845621,0.22988957859312342,-0.11992682444790591,0.018400543743359428,0.024655015499234732,-0.09844638096969614,-0.08753624416370294,0.014486239951991262,0.14158848384137931,0.07971103870169258,0.06512652948122419,0.15970895178265057,0.22932450567923476,0.27445738017427146,0.06158358818512573,0.047216242498521674,-0.0013300982862590625,0.03531975607542848,0.07076055403281607,0.02518240861328146,0.005410043457136753,0.07817496778718881,0.07039039561194096,-0.018695932485711327,0.08467180623473093,0.11672131434600745,0.06736421072454013,0.08801266891735977,0.03788136682769549,0.05980143685960999,0.04751978319212099,0.15243268930882178,0.07375059611683857,0.04965117624548883,0.010050179242668728,0.09213911056336888,0.30881036057232647,0.08001834312887714,0.06138465922803399,0.06485801703278193,0.04223274540475561,0.1737734624773497,0.12502358648131973,0.14305186899703765,0.02810391921389004,0.19904525838469525
