dex,FC,Fill
NHA,1.189149924,#CAC4C4
NHA,0.703621512,#CAC4C4
NHA,0.840936857,#CAC4C4
NHA,1.585057107,#CAC4C4
NHA,0.425624193,#CAC4C4
NHA,1.301622909,#CAC4C4
Cell Line - GBM,17.2862121,#C30223
Cell Line - GBM,19.49353787,#C30223
Cell Line - GBM,38.71930799,#C30223
Cell Line - GBM,16.33933149,#C30223
Cell Line - GBM,20.34638019,#C30223
Cell Line - GBM,31.84868328,#C30223
Cell Line - GBM,15.69154435,#C30223
Cell Line - GBM,19.32743905,#C30223
Cell Line - GBM,32.58739475,#C30223
Cell Line - GBM,1.44824258,#C30223
Cell Line - GBM,2.178638338,#C30223
Cell Line - GBM,10.46936912,#C30223
Cell Line - GBM,1.894561226,#C30223
Cell Line - GBM,1.90307374,#C30223
Cell Line - GBM,9.623959383,#C30223
Cell Line - GBM,1.738140294,#C30223
Cell Line - GBM,1.88803761,#C30223
Cell Line - GBM,9.756389219,#C30223
Cell Line - GBM,3.776089534,#C30223
Cell Line - GBM,4.383316984,#C30223
Cell Line - GBM,5.905447766,#C30223
Cell Line - GBM,2.008960469,#C30223
Cell Line - GBM,2.562321262,#C30223
Cell Line - GBM,2.170332346,#C30223
Cell Line - GBM,6.728152805,#C30223
Cell Line - GBM,7.47220534,#C30223
Cell Line - GBM,5.660466836,#C30223
Cell Line - GBM,1.207046371,#C30223
Cell Line - GBM,1.156956596,#C30223
Cell Line - GBM,1.100728253,#C30223
Cell Line - GBM,0.233725657,#C30223
Cell Line - GBM,0.312107787,#C30223
Cell Line - GBM,0.020734811,#C30223
Cell Line - GBM,0.020734811,#C30223
Cell Line - GBM,0.020734811,#C30223
Cell Line - GBM,0.221733616,#C30223
Cell Line - GBM,0.239399123,#C30223
Cell Line - GBM,0.020734811,#C30223
Cell Line - GBM,0.443472014,#C30223
Cell Line - GBM,9.590895196,#C30223
Cell Line - GBM,8.696091135,#C30223
Cell Line - GBM,9.669727751,#C30223
Cell Line - GBM,1.859611315,#C30223
Cell Line - GBM,1.325407832,#C30223
Cell Line - GBM,1.79322751,#C30223
Cell Line - GSC,0.501888053,#CA465C
Cell Line - GSC,0.170872005,#CA465C
Cell Line - GSC,0.324036609,#CA465C
Cell Line - GSC,0.509304278,#CA465C
Cell Line - GSC,0.548344262,#CA465C
Cell Line - GSC,0.712983004,#CA465C
Cell Line - GSC,0.07516283,#CA465C
Cell Line - GSC,0.040143372,#CA465C
Cell Line - GSC,0.058453985,#CA465C
Cell Line - GSC,0.115175279,#CA465C
Cell Line - GSC,0.19522945,#CA465C
Cell Line - GSC,0.077491679,#CA465C
Cell Line - GSC,0.049696832,#CA465C
Cell Line - GSC,0.055399095,#CA465C
Cell Line - GSC,0.063599629,#CA465C
Cell Line - GSC,0.15286078,#CA465C
Cell Line - GSC,0.079461513,#CA465C
Cell Line - GSC,0.029693473,#CA465C
Cell Line - GSC,3.191643118,#CA465C
Cell Line - GSC,2.351741916,#CA465C
Cell Line - GSC,2.895216338,#CA465C
Cell Line - GSC,2.664803755,#CA465C
Cell Line - GSC,2.107445855,#CA465C
Cell Line - GSC,2.797274074,#CA465C
Cell Line - GSC,1.832954706,#CA465C
Cell Line - GSC,2.026721851,#CA465C
Cell Line - GSC,1.69859648,#CA465C
Cell Line - GSC,2.065671198,#CA465C
Cell Line - GSC,2.203007562,#CA465C
Cell Line - GSC,1.863923698,#CA465C
Cell Line - GSC,0.079314739,#CA465C
Cell Line - GSC,0.105064524,#CA465C
Cell Line - GSC,0.064906958,#CA465C
Cell Line - GSC,0.381107927,#CA465C
Cell Line - GSC,0.528260892,#CA465C
Cell Line - GSC,0.371185984,#CA465C
Cell Line - GSC,1.240156742,#CA465C
Cell Line - GSC,0.934772792,#CA465C
Cell Line - GSC,1.327184756,#CA465C
Cell Line - GSC,1.900034977,#CA465C
Cell Line - GSC,3.188736024,#CA465C
Cell Line - GSC,1.696680476,#CA465C
