"","gene","partner","cor"
"1","uc.330","uc.12",0.748287613699091
"2","uc.330","uc.45",0.393560851513188
"3","uc.330","uc.46",0.604151966784266
"4","uc.330","WASH7P___1436229370",0.537389300885593
"5","uc.330","LOC107985730___2992631295",-0.40406076751386
"6","uc.330","FAM138A___3461136081",-0.358617131062952
"7","uc.330","LOC105379212___5194353959",-0.360253917968656
"8","uc.330","OR4F5___6909170008",-0.351793985648115
"9","uc.330","LOC102723897___184878199860",0.530407756737946
"10","uc.330","LOC100133331___724520730351",0.348182014543884
"11","uc.330","LINC00115___826206827522",-0.338174094607243
"12","uc.330","LOC107985728___910355929236",0.351496388028896
"13","uc.330","SAMD11___923923948974",0.591211270309838
"14","uc.330","NOC2L___941883960806",0.584827321381429
"15","uc.330","KLHL17___960103966184",0.5968728250174
"16","uc.330","HES4___9903391001946",0.433798929608563
"17","uc.330","AGRN___10201021056119",0.489696882424941
"18","uc.330","C1orf159___10818111116356",0.461837905296758
"19","uc.330","B3GALT6___12322491235041",0.444303645570836
"20","uc.330","RP5-902P8.12___12497771251334",-0.302745578035376
"21","uc.330","UBE2J2___12538001273854",0.359034727722178
"22","uc.330","SCNN1D___12804151292029",0.480123359013128
"23","uc.330","ACAP3___12923841307925",0.574205006359949
"24","uc.330","PUSL1___13081351319734",0.580994552043584
"25","uc.330","CPSF3L___13110681324687",0.58390812873497
"26","uc.330","CPTP___13247561328896",0.343770849833201
"27","uc.330","TAS1R3___13312801335320",0.382480140158879
"28","uc.330","DVL1___13351971349142",0.427957376340989
"29","uc.330","CCNL2___13857111399338",0.358101135190919
"30","uc.330","RP4-758J18.13___14090961410618",0.481104951160391
"31","uc.330","ATAD3B___14717321509467",0.503823169414645
"32","uc.330","ATAD3A___15121431534689",0.68250173998608
"33","uc.330","TMEM240___15347781540360",0.393378452972376
"34","uc.330","MIB2___16151881630610",0.526896584827321
"35","uc.330","CDK11B___16352261659839",0.577728178174575
"36","uc.330","SLC35E2B___16609571693000",0.327330981352149
"37","uc.330","CDK11A___17023831724837",0.465493076055392
"38","uc.330","SLC35E2___17248381746271",0.325125398996808
"39","uc.330","SKI___22280332310213",0.399868001055992
"40","uc.330","PANK4___25085312526628",0.43967888256894
"41","uc.330","HES5___25287452530554",0.335910912712698
"42","uc.330","MEGF6___34879423624779",0.303148774809802
"43","uc.330","WRAP73___36305523650107",0.49484484124127
"44","uc.330","TP73___36525653740626",0.536477308181535
"45","uc.330","LOC105378610___36584303668772",-0.471536227710178
"46","uc.330","LOC105378609___36748743677639",-0.30858713130295
"47","uc.330","RP5-1092A11.2___37122003714298",-0.460870713034296
"48","uc.330","TP73-AS1___37359843747375",0.353085175318598
"49","uc.330","LRRC47___37798563796504",0.486651306789546
"50","uc.330","DFFB___38107873888993",0.367542659658723
"51","uc.330","NOL9___65212176554598",0.403131974944201
"52","uc.330","ZBTB48___65799676589368",0.477252981976144
"53","uc.330","PHF13___66136966624419",0.337742098063216
"54","uc.330","THAP3___66246456635901",0.44156286749706
"55","uc.330","DNAJC11___66341686701906",0.496762425900593
"56","uc.330","VAMP3___77712697781458",-0.432037343701251
"57","uc.330","RERE___83522928826226",0.395044039647683
"58","uc.330","SLC2A5___90350199093407",-0.33672210622315
"59","uc.330","TMEM201___95888439614877",0.507591139270886
"60","uc.330","UBE4B___1003295810181239",0.304255165958672
"61","uc.330","CHESS31___1038210110397576",0.326750185998512
"62","uc.330","PGD___1039899210420614",0.389082487340101
"63","uc.330","RP5-1113E3.3___1045855510459338",0.303767969856241
"64","uc.330","TARDBP___1101234411031132",0.563340293277654
"65","uc.330","MASP2___1102652311047239",0.392677658578731
"66","uc.330","SRM___1104978311060053",0.440343677250582
"67","uc.330","EXOSC10___1106661311099910",0.544522043823649
"68","uc.330","MTOR___1110624411262551",0.389082487340101
"69","uc.330","UBIAD1___1127319811305720",0.401420788633691
"70","uc.330","DISP3___1147915511537583",0.393066455468356
"71","uc.330","MAD2L2___1167448011691788",0.3296805625555
"72","uc.330","DRAXIN___1168663511721766",0.34875320997432
"73","uc.330","CLCN6___1180609611843318",0.318950248398013
"74","uc.330","NPPA-AS1___1184031911848079",0.44733482132143
"75","uc.330","MIIP___1201411512032271",0.438488492092063
"76","uc.330","DHRS3___1256302512618361",-0.341356469148247
"77","uc.330","CELA2B___1547610115491400",0.322612619099047
"78","uc.330","CASP9___1548952215526557",0.326846185230518
"79","uc.330","SPEN___1584786415945206",0.497297621619027
"80","uc.330","ZBTB17___1594052915976132",0.638025295797634
"81","uc.330","FBXO42___1623849116352491",0.420481436148511
"82","uc.330","NECAP2___1644067216460675",-0.312614299085607
"83","uc.330","CROCCP3___1646009116499367",0.393582451340389
"84","uc.330","LOC107984921___1646094816468418",0.420750233998128
"85","uc.330","NBPF1___1655251016613605",0.37234742122063
"86","uc.330","CROCCP2___1661710816645573",0.469136246910025
"87","uc.330","CROCC___1691408216973180",0.394868841049272
"88","uc.330","RCC2___1740663817439754",0.655489956080351
"89","uc.330","CHESS48___1741935317420400",0.347975616195071
"90","uc.330","ARHGEF10L___1751333517697877",0.408111935104519
"91","uc.330","UBR4___1906442919210334",0.329918160654715
"92","uc.330","CHESS54___1926013919264343",0.432879736962104
"93","uc.330","AKR7L___1926598219274074",0.398075215398277
"94","uc.330","PQLC2___1931224619335577",0.326387788897689
"95","uc.330","LOC105378614___1959180219597661",-0.36546427628579
"96","uc.330","MINOS1___1959697719629895",-0.384544123647011
"97","uc.330","MINOS1-NBL1___1959697719658456",-0.364072287421701
"98","uc.330","OTUD3___1988171119912945",0.348299613603091
"99","uc.330","CAMK2N1___2048239020487361",-0.390107279141767
"100","uc.330","HP1BP3___2074267720787809",0.44703722370221
"101","uc.330","USP48___2167829821783620",0.318722250221998
"102","uc.330","CDC42___2205262722093098",-0.37390980872153
"103","uc.330","ZBTB40___2242883822531157",0.466945064439485
"104","uc.330","C1QA___2263507722639682",-0.422982216142271
"105","uc.330","C1QC___2264301422648110",-0.342381260949912
"106","uc.330","C1QB___2265276222661536",-0.375440996472028
"107","uc.330","EPHB2___2271077022921500",0.477308181534548
"108","uc.330","KDM1A___2301944323083998",0.567986656106751
"109","uc.330","LUZP1___2307776623177808",0.440970072239422
"110","uc.330","HTR1D___2318774423217499",0.3406196750426
"111","uc.330","HNRNPR___2329432923344650",0.527664578683371
"112","uc.330","E2F2___2350565423531266",0.522567019463844
"113","uc.330","LOC101928163___2352193023528419",-0.381440948472412
"114","uc.330","TCEB3___2374336623770306",0.400446396428829
"115","uc.330","TCEB3-AS1___2375918423779913",0.428725370197038
"116","uc.330","LYPLA2___2379078923795539",0.351309189526484
"117","uc.330","FUCA1___2384507723868369",-0.417745458036336
"118","uc.330","PNRC2___2395916423981190",0.37749778001776
"119","uc.330","SRSF10___2396341723980927",0.470105839153287
"120","uc.330","CHESS65___2436448324366413",0.322087023303814
"121","uc.330","NIPAL3___2441336024478220",-0.30561835505316
"122","uc.330","SRRM1___2464301224684251",0.427609379124967
"123","uc.330","CLIC4___2474526924850375",-0.333489332085343
"124","uc.330","TMEM50A___2533829825362361",-0.414327885376917
"125","uc.330","TMEM57___2543085825502182",0.323851009191926
"126","uc.330","PDIK1L___2610940626125548",0.37171142630859
"127","uc.330","LOC105376886___2611886126127915",0.362425900592795
"128","uc.330","CEP85___2623415326278964",0.433782129742962
"129","uc.330","SH3BGRL3___2627972226282270",-0.317467060263518
"130","uc.330","UBXN11___2628108926321688",-0.325434996520028
"131","uc.330","LIN28A___2641076826429728",-0.335166918664651
"132","uc.330","LOC101928324___2644849226468924",0.331113351093191
"133","uc.330","HMGN2___2647241126478166",0.350188398492812
"134","uc.330","ARID1A___2669259726783740",0.592099263205894
"135","uc.330","GPN2___2687797326890378",0.38515611875105
"136","uc.330","STX12___2777318327824636",-0.440492476060192
"137","uc.330","THEMIS2___2787253127887519",-0.328161374709002
"138","uc.330","EYA3___2797034428088671",0.372304221566228
"139","uc.330","PHACTR4___2836957428503789",0.5375020999832
"140","uc.330","CHESS81___2837664728382597",-0.369808241534068
"141","uc.330","RCC1___2850594328543096",0.351647586819306
"142","uc.330","RP4-669K10.8___2854446028546542",-0.321494228046176
"143","uc.330","GMEB1___2866872828715603",0.35453236374109
"144","uc.330","YTHDF2___2873662128782631",0.327011783905729
"145","uc.330","CHESS83___2893340028943218",-0.328466172270622
"146","uc.330","SRSF4___2914649129182125",0.527086183310534
"147","uc.330","LAPTM5___3073237030758892",-0.38203374373005
"148","uc.330","SDC3___3086844630909735",0.319569443444452
"149","uc.330","CHESS87___3093329030938400",0.432750137998896
"150","uc.330","ADGRB2___3172691131764340",0.335224518203854
"151","uc.330","SPOCD1___3178984431816051",-0.30390716874265
"152","uc.330","PTP4A2___3190640231942635",-0.418213454292366
"153","uc.330","KHDRBS1___3201369432060859",0.553761969904241
"154","uc.330","TMEM39B___3207203132102903",0.703710370317038
"155","uc.330","TXLNA___3217966932198593",0.363042695658435
"156","uc.330","CCDC28B___3220038632205390",0.395675234598123
"157","uc.330","IQCC___3220563532208687",0.348945208438333
"158","uc.330","MTMR9LP___3223160532247213",0.395550435596515
"159","uc.330","MARCKSL1___3233382932336239",0.544589243286054
"160","uc.330","LOC105378629___3234313632351795",0.482828137374901
"161","uc.330","FAM229A___3236127032364223",0.492552859577123
"162","uc.330","ZBTB8A___3251297032613470",0.40562075503396
"163","uc.330","RP11-114B7.6___3270560232725257",-0.309919120647035
"164","uc.330","S100PBP___3280952132859608",0.376686586507308
"165","uc.330","AZIN2___3308111033162288",0.308735930112559
"166","uc.330","TRIM62___3314460333184774",0.506887944896441
"167","uc.330","RP11-131M11.3___3316285133166298",-0.323786209710322
"168","uc.330","ZNF362___3325630733300912",0.638774089807282
"169","uc.330","A3GALT2___3330676633321098",0.309911920704634
"170","uc.330","LOC101929464___3335007333367191",0.321482228142175
"171","uc.330","ZSCAN20___3347259133504348",0.373972208222334
"172","uc.330","CSMD2___3351399934165842",0.380099359205126
"173","uc.330","SMIM12___3485036234859820",-0.331163750689995
"174","uc.330","TMEM35B___3498152634985347",-0.404235966112271
"175","uc.330","ZMYM1___3505978635116821",0.377603379172967
"176","uc.330","SFPQ___3517637835193161",0.722468620251038
"177","uc.330","CLSPN___3572046535769985",0.571349029207767
"178","uc.330","AGO4___3580763035857890",0.345815633474932
"179","uc.330","AGO1___3586980835930437",0.40187678498572
"180","uc.330","AGO3___3592519836072037",0.430986152110783
"181","uc.330","TRAPPC3___3613656936156053",-0.350233998128015
"182","uc.330","THRAP3___3622441236305719",0.313927088583291
"183","uc.330","GRIK3___3679531737035600",0.449120407036744
"184","uc.330","CDCA8___3769240137709719",0.483101735186119
"185","uc.330","CHESS99___3779146837793391",-0.30359517123863
"186","uc.330","MANEAL___3779381637801606",0.493184054527564
"187","uc.330","YRDC___3779748137808193",0.478517771857825
"188","uc.330","SF3A3___3795697537990110",0.305275157798738
"189","uc.330","CHESS101___3885998438866012",-0.304871961024312
"190","uc.330","CHESS102___3906430539072725",0.314404684762522
"191","uc.330","MYCL___3989265139902296",0.300645594835241
"192","uc.330","CAP1___4004007040075597",-0.45078359373125
"193","uc.330","PPT1___4007271040097470",-0.351729186166511
"194","uc.330","ZFP69B___4045006440468293",0.459013127894977
"195","uc.330","NFYC-AS1___4068540340692261",0.474896200830393
"196","uc.330","NFYC___4069157040783751",0.438682890536876
"197","uc.330","CTPS1___4097929941028532",0.613207094343245
"198","uc.330","SCMH1___4100939341242217",0.588607291141671
"199","uc.330","SLFNL1___4101259941023444",-0.481688146494828
"200","uc.330","SLFNL1-AS1___4101459041059560",0.516005471956224
"201","uc.330","FOXO6___4136143941383591",0.326949384404925
"202","uc.330","LOC101929901___4137029241382198",0.509103127174983
"203","uc.330","ZMYND12___4242904642460413",-0.502018383852929
"204","uc.330","PPCS___4245626842473560",-0.492178462572299
"205","uc.330","YBX1___4268223542703803",0.446593227254182
"206","uc.330","CHESS107___4268379942688131",0.419761441908465
"207","uc.330","LOC100129924___4278503242800818",0.430882952936377
"208","uc.330","ERMAP___4281710542844991",-0.318266253869969
"209","uc.330","LOC339539___4285762242888792",-0.422593419252646
"210","uc.330","SZT2___4338852943477780",0.463217894256846
"211","uc.330","HYI___4345060743454241",0.466688266493868
"212","uc.330","KDM4A___4365011843706278",0.480365757073944
"213","uc.330","KDM4A-AS1___4369972443707341",0.567626658986728
"214","uc.330","ST3GAL3___4370749743931306",0.439256485948112
"215","uc.330","ARTN___4393332043940734",0.364465884272926
"216","uc.330","LOC105378688___4393763243946599",0.420186238510092
"217","uc.330","DPH2___4396997943973371",0.603189574483404
"218","uc.330","B4GALT2___4397920243991171",0.472508219934241
"219","uc.330","CHESS110___4398985443990334",0.492920056639547
"220","uc.330","DMAP1___4421342844221000",0.588079295365637
"221","uc.330","ERI3-IT1___4422259544244283",0.305263157894737
"222","uc.330","RNF220___4440484644651724",0.327081383348933
"223","uc.330","LOC107984950___4463328444645482",0.359118727050184
"224","uc.330","KIF2C___4473808544769172",0.594624043007656
"225","uc.330","ZSWIM5___4501576945206586",0.43719250245998
"226","uc.330","CHESS112___4511360545116899",-0.321671826625387
"227","uc.330","MUTYH___4532924245340925",0.554873161014712
"228","uc.330","NASP___4558398845618913",0.693822449420405
"229","uc.330","MAST2___4578693046036124",0.474778601771186
"230","uc.330","RAD54L___4624769546278477",0.713096695226438
