"","gene","partner","cor"
"1","uc.173","uc.12",-0.46422108623131
"2","uc.173","uc.13",0.465493076055392
"3","uc.173","uc.36",-0.380879352965176
"4","uc.173","uc.46",-0.394340845273238
"5","uc.173","LOC102723897___184878199860",-0.382266541867665
"6","uc.173","SAMD11___923923948974",-0.372088223294214
"7","uc.173","NOC2L___941883960806",-0.4281181750546
"8","uc.173","KLHL17___960103966184",-0.325067799457604
"9","uc.173","AGRN___10201021056119",-0.578827369381045
"10","uc.173","B3GALT6___12322491235041",-0.366129070967432
"11","uc.173","SCNN1D___12804151292029",-0.373883408932729
"12","uc.173","ACAP3___12923841307925",-0.452017183862529
"13","uc.173","PUSL1___13081351319734",-0.416526267789858
"14","uc.173","CPSF3L___13110681324687",-0.429771761825905
"15","uc.173","CPTP___13247561328896",-0.315489476084191
"16","uc.173","DVL1___13351971349142",-0.434434924520604
"17","uc.173","MRPL20___14018961407313",0.348683610531116
"18","uc.173","ATAD3B___14717321509467",-0.353853169174647
"19","uc.173","ATAD3A___15121431534689",-0.490448076415389
"20","uc.173","MIB2___16151881630610",-0.545033239734082
"21","uc.173","CDK11B___16352261659839",-0.523291813665491
"22","uc.173","SLC35E2B___16609571693000",-0.434170926632587
"23","uc.173","CDK11A___17023831724837",-0.378344973240214
"24","uc.173","NADK___17512321780514",-0.393582451340389
"25","uc.173","SKI___22280332310213",-0.655141958864329
"26","uc.173","MORN1___23212532391751",-0.300009599923201
"27","uc.173","FAM213B___25864602591469",-0.352981976144191
"28","uc.173","MMEL1___25885552633042",-0.325722994216046
"29","uc.173","PRDM16___30690253438621",-0.322353421172631
"30","uc.173","MEGF6___34879423624779",-0.330239758081935
"31","uc.173","TP73___36525653740626",-0.438270093839249
"32","uc.173","TP73-AS1___37359843747375",-0.427174982600139
"33","uc.173","LRRC47___37798563796504",-0.35984112127103
"34","uc.173","DFFB___38107873888993",-0.528350973192215
"35","uc.173","CEP104___38120393857387",-0.519519043847649
"36","uc.173","NPHP4___58506775992473",-0.395077639378885
"37","uc.173","NOL9___65212176554598",-0.417913456692347
"38","uc.173","ZBTB48___65799676589368",-0.32093983248134
"39","uc.173","LOC107984913___66032556613374",0.443158854729162
"40","uc.173","PHF13___66136966624419",-0.362101903184775
"41","uc.173","DNAJC11___66341686701906",-0.523810209518324
"42","uc.173","CHESS24___76136557621276",0.33530611755106
"43","uc.173","PARK7___79528917985282",0.353485972112223
"44","uc.173","RERE___83522928826226",-0.477761777905777
"45","uc.173","H6PD___92347679271337",-0.357093143254854
"46","uc.173","TMEM201___95888439614877",-0.528984568123455
"47","uc.173","CLSTN1___97283749824526",-0.356910744714042
"48","uc.173","UBE4B___1003295810181239",-0.423865409076727
"49","uc.173","KIF1B___1021054510382398",-0.44875320997432
"50","uc.173","LOC105376725___1035798310366610",-0.458708330333357
"51","uc.173","RP5-1113E3.3___1045855510459338",-0.319329445364437
"52","uc.173","TARDBP___1101234411031132",-0.450992392060864
"53","uc.173","MASP2___1102652311047239",-0.307675138598891
"54","uc.173","EXOSC10___1106661311099910",-0.356202750377997
"55","uc.173","MTOR___1110624411262551",-0.583394532843737
"56","uc.173","UBIAD1___1127319811305720",-0.405687954496364
"57","uc.173","DISP3___1147915511537583",-0.357937936496508
"58","uc.173","DRAXIN___1168663511721766",-0.336467708258334
"59","uc.173","C1orf167___1176218811791552",-0.361002711978304
"60","uc.173","MTHFR___1178571411806103",-0.399899200806394
"61","uc.173","CLCN6___1180609611843318",-0.466892264861881
"62","uc.173","CHESS34___1182933711833514",-0.346686826505388
"63","uc.173","MFN2___1198018112013523",-0.398322413420693
"64","uc.173","VPS13D___1223003912512047",-0.457621139030888
