"","gene","partner","cor"
"1","uc.164","uc.18",-0.339858881128951
"2","uc.164","MRPL20___14018961407313",-0.412165502675979
"3","uc.164","RER1___23850672405444",-0.303739170086639
"4","uc.164","PEX10___24013732413797",-0.303071975424197
"5","uc.164","C1orf174___38891253900293",-0.31780785753714
"6","uc.164","APITD1___1043010210445492",-0.300832793337653
"7","uc.164","C1orf158___1274618612761169",0.306040751673987
"8","uc.164","FLJ37453___1580715315848147",-0.400575995392037
"9","uc.164","UQCRHL___1580716215834214",-0.401946384428925
"10","uc.164","LINC00339___2202188122031411",-0.321103031175751
"11","uc.164","MTFR1L___2581864025833576",-0.306427148582811
"12","uc.164","RP11-96L14.8___2616416126168581",0.308426332589339
"13","uc.164","CHESS74___2662108726631347",0.314099887200902
"14","uc.164","SLC9A1___2709872827155130",0.333964528283774
"15","uc.164","TMEM222___2732214527336400",-0.324194206446348
"16","uc.164","RPA2___2789152427914797",-0.33546211630307
"17","uc.164","TRNAU1AP___2855301728578545",-0.340487676098591
"18","uc.164","TMEM234___3220449032222371",-0.352677178582571
"19","uc.164","IQCC___3220563532208687",-0.345921232630139
"20","uc.164","ZBTB8OS___3261465632651013",-0.308865529075767
"21","uc.164","TMEM54___3289459432901438",-0.359135526915785
"22","uc.164","DNALI1___3755691937566857",-0.334046127630979
"23","uc.164","C1orf109___3767774237692336",-0.360145918832649
"24","uc.164","AKIRIN1___3899124439018235",-0.313113495092039
"25","uc.164","ZNF684___4053134940548169",-0.362495500036
"26","uc.164","CCDC30___4248269442654664",-0.376801785585715
"27","uc.164","PPIH___4265777042681659",-0.343641250869993
"28","uc.164","FAM183A___4311968043156935",0.313883888928889
"29","uc.164","EBNA1BP2___4316417443172570",-0.318892648858809
"30","uc.164","ERI3___4421347344356445",-0.351817985456116
"31","uc.164","CCDC163P___4549392645500079",-0.400551995584035
"32","uc.164","TMEM69___4568613145701465",-0.402282381740946
"33","uc.164","IPP___4569418045750813",-0.37094103247174
"34","uc.164","LOC105378710___5025764050258202",0.306203950368397
"35","uc.164","BTF3L4___5205532052101770",-0.329790961672307
"36","uc.164","C1orf123___5321335853220639",-0.31905824753402
"37","uc.164","TTC4___5471582254742657",-0.314923080615355
"38","uc.164","RP11-67L3.2___5479219454794909",0.410269517843857
"39","uc.164","FGGY___5929640559772920",-0.32984136126911
"40","uc.164","LOC107985379___6028046360289254",0.305145558835529
"41","uc.164","CHESS142___6099843361057980",-0.30061919504644
"42","uc.164","TM2D1___6168104761725423",-0.317447860417117
"43","uc.164","LOC105378770___6317320563198709",0.308030335757314
"44","uc.164","ITGB3BP___6344077063523517",-0.320990232078143
"45","uc.164","EFCAB7___6352330163585400",-0.354805961552308
"46","uc.164","WDR78___6681288566924887",-0.314342285261718
"47","uc.164","ZRANB2-AS1___7104650371067184",-0.317851057191542
"48","uc.164","ZRANB2___7106208071081289",-0.324556603547172
"49","uc.164","ACADM___7572434775763679",-0.326363789089687
"50","uc.164","SAMD13___8429836684350798",-0.313226294189647
"51","uc.164","LOC105378833___8739119587430425",0.312321501427989
"52","uc.164","EXTL2___100872339100895989",-0.33000695994432
"53","uc.164","DPH5___100989623101025824",-0.335709314325485
"54","uc.164","LOC102606465___101025846101087379",-0.382304941560468
"55","uc.164","SPATA42___108857217108858524",0.3000023999808
"56","uc.164","RBM15___110316149110375450",-0.324100607195142
"57","uc.164","PIFO___111324663111354615",-0.324578203374373
"58","uc.164","ATP5F1___111448818111461918",-0.333856529147767
"59","uc.164","BCAS2___114567557114581644",-0.313845489236086
"60","uc.164","SIKE1___114769479114780687",-0.336186910504716
"61","uc.164","WARS2___119015869119140701",-0.311704706362349
"62","uc.164","LOC105378934___119328176119356202",0.336479708162335
"63","uc.164","LOC100132057___148402483148432545",-0.319183046535628
"64","uc.164","LINC01138___148432959148459920",-0.354863561091511
"65","uc.164","LOC105371224___148442576148461504",-0.356332349341205
"66","uc.164","LOC105371223___148680046148688543",0.375558595531236
"67","uc.164","BOLA1___149887890149901462",-0.355828353373173
"68","uc.164","CHESS229___149895692149900793",-0.35265557875537
"69","uc.164","LOC105371427___150020509150067694",-0.302006383948928
"70","uc.164","SNAPIN___153658654153661852",-0.324179806561548
"71","uc.164","HAX1___154272563154275944",-0.339659682722538
"72","uc.164","FLAD1___154983294154993111",-0.313238294093647
"73","uc.164","MTX1___155208699155213918",-0.309511123911009
"74","uc.164","NAXE___156591762156599818",-0.334574123407013
"75","uc.164","ATP1A4___160151562160186977",0.318268653850769
"76","uc.164","USF1___161039251161045979",-0.376892984856121
"77","uc.164","NIT1___161117522161125446",-0.307847937216502
"78","uc.164","UFC1___161126466161159039",-0.324755801953584
"79","uc.164","LOC107985451___164895533164912572",0.304418364653083
"80","uc.164","TMCO1___165720802165768922",-0.317522259821922
"81","uc.164","CCDC181___169393684169462221",-0.314978280173759
"82","uc.164","C1orf112___169769007169854261",-0.309422324621403
"83","uc.164","METTL18___169792524169798566",-0.36546427628579
"84","uc.164","LOC107985227___173414357173418640",0.307276741786066
"85","uc.164","MRPS14___175012958175023455",-0.368351453188375
"86","uc.164","TSEN15___184050207184095846",-0.322000623995008
"87","uc.164","LOC105371665___192754932192792523",0.306129550963592
"88","uc.164","DDX59___200623809200669998",-0.359889120887033
"89","uc.164","TMEM9___201131231201172537",-0.350034799721602
"90","uc.164","LOC105371689___203996805204008552",0.322999016007872
"91","uc.164","C1orf74___209778970209784730",-0.33453332373341
"92","uc.164","LINC00467___211382755211444093",-0.367333861329109
"93","uc.164","NSL1___212726153212798900",-0.367669858641131
"94","uc.164","TATDN3___212790797212817232",-0.367420260637915
"95","uc.164","SPATA17___217631324217872009",-0.377317781457748
"96","uc.164","LYPLAL1-AS1___218931721219173961",-0.361609907120743
"97","uc.164","LYPLAL1___219173831219445121",-0.401864785081719
"98","uc.164","BPNT1___220057482220089916",-0.346698826409389
"99","uc.164","CHESS351___224445656224448153",0.370506635946913
"100","uc.164","SRP9___225777813225792396",-0.467564259485924
"101","uc.164","LOC105373159___229256933229271242",-0.311318309453524
"102","uc.164","COG2___230642456230693985",-0.33000215998272
"103","uc.164","LOC101927604___230874846230879015",0.325370197038424
"104","uc.164","ARV1___230979075231002465",-0.372409820721434
"105","uc.164","LOC149373___231184099231187627",0.323786209710322
"106","uc.164","GNPAT___231241173231288621",-0.339868481052152
"107","uc.164","LOC105373198___232374578232378110",0.324916600667195
"108","uc.164","GGPS1___235328438235349169",-0.371039431684547
"109","uc.164","CHESS391___247104561247112924",-0.318518251853985
"110","uc.164","C1orf229___247110160247112417",-0.3624931000552
"111","uc.164","LOC105376398___85727478594391",0.345256437948496
"112","uc.164","CHESS430___2152657121527141",0.432598939208486
"113","uc.164","THNSL1___2495193725026664",-0.327837377300982
"114","uc.164","ENKUR___2498197925062728",-0.304979960160319
"115","uc.164","FAM21A___5006788850133509",0.308791129670963
"116","uc.164","ARID5B___6190125462100053",0.379520963832289
"117","uc.164","HK1___6927000069402128",0.326493388052896
"118","uc.164","FUT11___7377217573780285",0.36203470372237
"119","uc.164","CHESS506___7835408078356086",0.309758321933425
"120","uc.164","PI4K2A___9764068697676472",0.3062519499844
"121","uc.164","LZTS2___100996558101008835",0.301495188038496
"122","uc.164","GRK5___119207676119460267",0.313826289389685
"123","uc.164","LOC100506082___41871524202653",0.310588715290278
"124","uc.164","ARFIP2___64746836481479",-0.329159766721866
"125","uc.164","TMEM9B___89470648965011",-0.361691506467948
"126","uc.164","ZBED5___1084711710858796",-0.349132406940745
"127","uc.164","ZBED5-AS1___1085821710879276",-0.316329469364245
"128","uc.164","CYP2R1___1487470414898913",-0.323666210670315
"129","uc.164","PRMT3___2038753020510974",-0.378296973624211
"130","uc.164","LINC00678___2761762627634627",0.375721794225646
"131","uc.164","ARL14EP___3032307430340802",-0.329342165262678
"132","uc.164","DNAJC24___3136982931433171",-0.334516523867809
"133","uc.164","IMMP1L___3143238131509645",-0.333734130126959
"134","uc.164","LOC107984420___3199370031995797",0.387366501067992
"135","uc.164","LOC105376624___3485542134875278",0.331667746658027
"136","uc.164","COMMD9___3627128536289777",-0.317627858977128
"137","uc.164","KBTBD4___4757219747579015",-0.355194758441933
"138","uc.164","PTPRJ___4798050448170842",0.326858185134519
"139","uc.164","TIMM10___5751758657531331",-0.34422444620443
"140","uc.164","MED19___5770370957712323",-0.340907672738618
"141","uc.164","TMX2___5771252357741192",-0.414313485492116
"142","uc.164","TMEM138___6135696361386653",-0.320978232174143
"143","uc.164","SDHAF2___6142948461479536",-0.36374829001368
"144","uc.164","POLR2G___6275420262766715",-0.330561355509156
"145","uc.164","MRPL49___6512218365127627",-0.325562195502436
"146","uc.164","RNASEH2C___6571252365724192",-0.309227926176591
"147","uc.164","BANF1___6600177866004267",-0.306472748218014
"148","uc.164","MRPL11___6643507566466738",-0.304295965632275
"149","uc.164","GSTP1___6758359567592126",-0.30062159502724
"150","uc.164","FAM86C2P___6779164667805336",-0.309237526099791
"151","uc.164","LRTOMT___7207998272110782",-0.319543043655651
"152","uc.164","COA4___7387025873876901",-0.307279141766866
"153","uc.164","LOC107987163___7752381477616414",-0.379033767729858
"154","uc.164","CLNS1A___7761615177637806",-0.362867497060024
"155","uc.164","TMEM126A___8564791985656553",-0.321218230254158
"156","uc.164","C11orf73___8630221186345943",-0.334538123695011
"157","uc.164","C11orf54___9374159493776372",-0.345556435548516
"158","uc.164","MRE11A___9441557094512701",-0.309957520339837
"159","uc.164","ANKRD49___9449397994501916",-0.350673194614443
"160","uc.164","CWC15___9496262294973612",-0.351489188086495
"161","uc.164","C11orf1___111871985111900317",-0.3687426500588
"162","uc.164","FDXACB1___111874056111879457",-0.380440156478748
"163","uc.164","PIH1D2___112052161112074288",-0.330801353589171
"164","uc.164","C11orf57___112074244112085150",-0.324647802817578
"165","uc.164","TIMM8B___112084800112086798",-0.308181534547724
"166","uc.164","SDHD___112086806112120013",-0.325293397652819
"167","uc.164","LOC100131626___118381220118418965",-0.313051095591235
"168","uc.164","IFT46___118541329118575624",-0.388640890872873
"169","uc.164","HMBS___119084871119093549",-0.368555451556388
"170","uc.164","LOC107984397___119102322119102888",0.365512275901793
"171","uc.164","TRIM29___120111075120147214",0.313377492980056
"172","uc.164","SPA17___124672325124698401",-0.314455084359325
"173","uc.164","TMEM218___125094370125111763",-0.448220414236686
"174","uc.164","THYN1___134248278134253401",-0.379283365733074
"175","uc.164","LOC105369609___38715873916586",0.309203926368589
"176","uc.164","LRRC23___68912706914286",-0.313958288333693
"177","uc.164","LOH12CR2___1235521412357067",-0.308265533875729
"178","uc.164","LOC102724146___1581332915882348",0.374310605515156
"179","uc.164","LYRM5___2519521625205051",-0.305851153190775
"180","uc.164","ETFBKMT___3164716031672926",-0.310672714618283
"181","uc.164","RP1-90J4.1___4741500847420179",0.324316605467156
"182","uc.164","TMEM106C___4796354747969027",-0.32156622747018
"183","uc.164","LOC105369757___4898249948987074",0.346749226006192
"184","uc.164","LOC105369756___4898778148988743",0.413612691098471
"185","uc.164","LOC105369758___4899836449019240",-0.313365493076055
"186","uc.164","PRKAG1___4900227249018975",-0.335843713250294
"187","uc.164","BCDIN3D-AS1___4982854349841154",-0.337413300693594
"188","uc.164","BCDIN3D___4983604349843129",-0.329721362229102
"189","uc.164","LOC101927292___4991186449930478",0.334226126190991
"190","uc.164","LOC105369763___4994267449946888",0.314143086855305
"191","uc.164","LOC101927318___4995112249962924",-0.374641802865577
"192","uc.164","LOC107984513___5412030654125894",-0.331276549787602
"193","uc.164","SMUG1___5417181554188994",-0.305901552787578
"194","uc.164","NABP2___5622201556229880",-0.344469244246046
"195","uc.164","APOF___5636056856363565",0.354897160822713
"196","uc.164","LOC100506844___5793144957936164",-0.378644970840233
"197","uc.164","LOC100507250___6867437168687755",-0.309285525715794
"198","uc.164","YEATS4___6935970569424838",-0.346281229750162
"199","uc.164","THAP2___7166389771680648",-0.334653322773418
"200","uc.164","TMEM19___7168608871707379",-0.320452636378909
"201","uc.164","C12orf29___8803549188050166",-0.30610075119399
"202","uc.164","LOC107984545___9540765895454913",0.321959824321405
"203","uc.164","CFAP54___9648956696875555",-0.30687354501164
"204","uc.164","LOC105369927___9719334997229495",0.307207142342861
"205","uc.164","CHESS926___105762151105763075",0.32843257253942
"206","uc.164","ALKBH2___109088188109093631",-0.31984784121727
"207","uc.164","FAM216A___110468415110491495",-0.305927952576379
"208","uc.164","TCTN1___110614027110673764",-0.329646962824298
"209","uc.164","HVCN1___110639937110704945",-0.349074807401541
"210","uc.164","MAPKAPK5-AS1___111839767111842902",-0.396157630738954
"211","uc.164","TMEM116___111894936112013219",-0.306945544435645
"212","uc.164","IQCD___113193598113221344",-0.326145390836873
"213","uc.164","PLBD2___113358566113391582",0.348333213334293
"214","uc.164","LOC105370024___119174065119176484",0.337766097871217
"215","uc.164","LOC107987181___120488104120493843",-0.377994576043392
"216","uc.164","COQ5___120503279120529171",-0.329985360117119
