"","gene","partner","cor"
"1","uc.355","uc.30",0.363609091127271
"2","uc.355","uc.38",0.401826385388917
"3","uc.355","uc.39",0.37531379748962
"4","uc.355","uc.42",0.327162982696138
"5","uc.355","LOC105378599___27734952774394",0.325667794657643
"6","uc.355","LOC105376682___51318565135311",0.37749778001776
"7","uc.355","LOC105376745___1282272412823223",0.371490628074975
"8","uc.355","FAM183A___4311968043156935",0.309979120167039
"9","uc.355","LOC105378788___6943125169435400",0.319809441524468
"10","uc.355","LOC105378799___7284989172854253",0.386396908824729
"11","uc.355","LOC107985391___7349859373505369",0.378426572587419
"12","uc.355","RP11-510C10.4___7512251875123927",0.369364245086039
"13","uc.355","RP11-339A11.2___8011494380116918",0.425814193486452
"14","uc.355","RP11-339D23.1___8037336480374621",0.428050975592195
"15","uc.355","LOC105378881___105473602105489957",0.31515107879137
"16","uc.355","CHESS212___143194475143195757",0.396808025535796
"17","uc.355","CHESS213___143221958143222833",0.327633378932969
"18","uc.355","CHESS214___143245378143245658",0.416703866369069
"19","uc.355","CHESS215___143246792143252371",0.335534115727074
"20","uc.355","CHESS216___143252552143258040",0.362135502915977
"21","uc.355","CHESS217___143252607143253357",0.419408644730842
"22","uc.355","LCE3B___152613811152614098",0.384426524587803
"23","uc.355","LCE2B___152686123152687401",0.319478244174047
"24","uc.355","SPRR2A___153056120153058209",0.305263157894737
"25","uc.355","SPRR2C___153140118153141493",0.301922384620923
"26","uc.355","OR10T2___158398522158399466",0.308294333645331
"27","uc.355","OR10K2___158419928158420866",0.310955912352701
"28","uc.355","LOC107985212___158459587158462276",0.375889792881657
"29","uc.355","OR10K1___158465562158466503",0.340530875752994
"30","uc.355","OR10R2___158479878158480885",0.324623803009576
"31","uc.355","OR6Y1___158547128158548105",0.397566419468644
"32","uc.355","OR10X1___158578919158579899",0.326534187726498
"33","uc.355","LOC107985452___165131537165137786",0.349967600259198
"34","uc.355","RP3-332O11.2___172752586172752924",0.337890896872825
"35","uc.355","RP11-201A3.1___188218400188220676",0.369966640266878
"36","uc.355","LOC105371660___191221159191228498",0.33421412628699
"37","uc.355","CHESS301___197994105197995775",0.380531355749154
"38","uc.355","CHESS302___199312099199323779",0.31313029495764
"39","uc.355","LOC105372894___208972453208975307",0.315256677946577
"40","uc.355","LOC105372897___209325434209328532",0.401684786521708
"41","uc.355","CHESS335___214832444214833305",0.311493508051936
"42","uc.355","LOC105372915___214900601214905479",0.37515779873761
"43","uc.355","LOC105372984___222750763222773192",0.311001511987904
"44","uc.355","OR2G2___247588360247589313",0.324755801953584
"45","uc.355","OR2G3___247605586247606515",0.325730194158447
"46","uc.355","OR13G1___247672118247673041",0.314363885088919
"47","uc.355","OR1C1___247757462247758406",0.342863657090743
"48","uc.355","OR14A16___247814800247815729",0.41500467996256
"49","uc.355","OR2M1P___248122136248122780",0.328190174478604
"50","uc.355","OR2M5___248145148248146086",0.3515683874529
"51","uc.355","OR2M2___248179986248181029",0.415482276141791
"52","uc.355","OR2M3___248203068248204006",0.308217534259726
"53","uc.355","OR2T12___248294616248295578",0.369100247198022
"54","uc.355","OR2M7___248323630248324568",0.365673074615403
"55","uc.355","OR14C36___248348775248349713",0.318602251181991
"56","uc.355","OR2T6___248387609248388535",0.341224470204238
"57","uc.355","OR2T1___248405995248407104",0.361977104183167
"58","uc.355","OR2T3___248473351248474307",0.349403604771162
"59","uc.355","OR2T5___248488589248489536",0.342431660546716
"60","uc.355","OR2G6___248521647248522597",0.390904072767418
"61","uc.355","CHESS393___248535005248536680",0.301415988672091
"62","uc.355","OR2T29___248558544248559491",0.318206254349965
"63","uc.355","OR2T34___248573801248574757",0.35969232246142
"64","uc.355","OR2T35___248638287248639258",0.349696402428781
"65","uc.355","uc.283",0.370343437252502
"66","uc.355","uc.284",0.326786185710514
"67","uc.355","uc.286",0.341846065231478
"68","uc.355","uc.314",0.331646146830825
"69","uc.355","uc.315",0.387714498284014
"70","uc.355","uc.316",0.332414140686875
"71","uc.355","RP11-631M21.1___1406114604",0.321753425972592
"72","uc.355","RP11-164C1.2___743992744958",0.329961360309118
"73","uc.355","CHESS400___20691542072785",0.300515995872033
"74","uc.355","CHESS401___24221552424587",0.313732690138479
"75","uc.355","LOC101927904___39106873942105",0.32515179878561
"76","uc.355","LOC105376371___43691844370685",0.361734706122351
"77","uc.355","XXyac-YR21CG7.1___53466515347277",0.346761225910193
"78","uc.355","LOC101928298___1005872210063502",0.349122807017544
"79","uc.355","LOC107984180___1892913818930677",0.326776585787314
"80","uc.355","RP11-253D19.2___3057669930580182",0.303983968128255
"81","uc.355","RP13-259N13.2___3368475533687064",0.339191686466508
"82","uc.355","LOC101929498___3730496337306638",0.308805529555764
"83","uc.355","LOC107984177___3847924738480197",0.392872057023544
"84","uc.355","CHESS455___4185402541854979",0.374781001751986
"85","uc.355","LOC102724264___4377756243778902",0.37108503131975
"86","uc.355","LOC107984189___4382575743826300",0.337324501403989
"87","uc.355","RP11-96B5.4___5096427050965220",0.33734610123119
"88","uc.355","MBL2___5276497752772845",0.345009239926081
"89","uc.355","LOC105378309___5297226352975815",0.354606763145895
"90","uc.355","LOC105378310___5315180353163045",0.316060671514628
"91","uc.355","LINC01553___5995821759960913",0.314488684090527
"92","uc.355","LOC105378337___6547931365481670",0.349569203446372
"93","uc.355","LOC107984187___8315800983166695",0.409155926752586
"94","uc.355","LOC105378397___8367240683677089",0.315511075911393
"95","uc.355","LOC105378401___8494732384950932",0.370967432260542
"96","uc.355","LINC01519___8519342185198938",0.333359733122135
"97","uc.355","LOC105378403___8537748685380116",0.310917512659899
"98","uc.355","RP11-168C9.1___129278023129291722",0.35327237382101
"99","uc.355","LOC105378556___129366283129368689",0.39827681378549
"100","uc.355","LOC105378557___129370328129381122",0.319312645498836
"101","uc.355","LOC105378562___130693883130697068",0.319778241774066
"102","uc.355","uc.319",0.305642354861161
"103","uc.355","uc.320",0.322547819617443
