target,driver_citations,oncogene_citations,tumor_suppressor_citations,all_citations,No_driver,role
UROD,0,1,1,2,2,ONC/TSG
USF2,0,0,2,2,2,TSG
USP17L2,1,0,1,2,1,TSG
USP21,0,2,0,2,2,ONC
USP28,0,1,1,2,2,ONC/TSG
USP37,0,1,1,2,2,ONC/TSG
USP5,0,2,0,2,2,ONC
USP54,0,2,0,2,2,ONC
VASH2,1,1,0,2,1,ONC
VASN,0,1,1,2,2,ONC/TSG
VASP,0,2,0,2,2,ONC
VENTX,0,0,2,2,2,TSG
VOPP1,0,2,0,2,2,ONC
VPS33B,0,0,2,2,2,TSG
WASF3,1,0,1,2,1,TSG
WASL,0,2,0,2,2,ONC
WDR11,0,0,2,2,2,TSG
WDR54,0,2,0,2,2,ONC
WIPF1,0,2,0,2,2,ONC
WNT2,0,2,0,2,2,ONC
WNT2B,0,2,0,2,2,ONC
WNT6,0,2,0,2,2,ONC
WNT7B,0,2,0,2,2,ONC
WWC1,0,0,2,2,2,TSG
WWTR1,0,2,0,2,2,ONC
XIAP,0,1,1,2,2,ONC/TSG
XPC,0,0,2,2,2,TSG
XRCC1,0,0,2,2,2,TSG
XRCC5,1,0,1,2,1,TSG
YPEL3,0,0,2,2,2,TSG
YTHDF2,0,1,1,2,2,ONC/TSG
ZBTB2,0,2,0,2,2,ONC
ZDHHC5,1,1,0,2,1,ONC
ZFP36L1,0,0,2,2,2,TSG
ZIC5,1,1,0,2,1,ONC
ZMIZ1,0,2,0,2,2,ONC
ZMYND8,0,1,1,2,2,ONC/TSG
ZNF143,0,2,0,2,2,ONC
ZNF366,0,0,2,2,2,TSG
ZNF667,0,2,0,2,2,ONC
ZNF668,0,0,2,2,2,TSG
ZNRF3,0,1,1,2,2,ONC/TSG
ABCC4,0,1,0,1,1,ONC
ABI3,0,0,1,1,1,TSG
ABLIM1,0,0,1,1,1,TSG
ACADL,0,0,1,1,1,TSG
ACADM,0,1,0,1,1,ONC
ACE2,0,0,1,1,1,TSG
ACHE,0,0,1,1,1,TSG
ACIN1,0,1,0,1,1,ONC
ACLY,0,1,0,1,1,ONC
ACOT7,0,0,1,1,1,TSG
ACP1,0,1,0,1,1,ONC
ACRBP,0,1,0,1,1,ONC
ACSL5,0,0,1,1,1,TSG
ACSM3,0,0,1,1,1,TSG
ACTA1,0,0,1,1,1,TSG
ACTN4,0,1,0,1,1,ONC
ACVR1,1,0,0,1,0,DRV
ACVR1C,0,0,1,1,1,TSG
ACVRL1,0,1,0,1,1,ONC
ADAM10,1,0,0,1,0,DRV
ADAM11,0,0,1,1,1,TSG
ADAM12,0,1,0,1,1,ONC
ADAM19,0,0,1,1,1,TSG
ADAM23,0,0,1,1,1,TSG
ADAM33,0,0,1,1,1,TSG
ADAMTS12,0,0,1,1,1,TSG
ADAMTS8,0,0,1,1,1,TSG
ADARB2,0,0,1,1,1,TSG
ADAT2,0,0,1,1,1,TSG
ADCY9,0,1,0,1,1,ONC
ADD2,0,1,0,1,1,ONC
ADGB,0,1,0,1,1,ONC
ADHFE1,0,1,0,1,1,ONC
ADORA1,0,0,1,1,1,TSG
ADPRH,0,0,1,1,1,TSG
AEBP1,0,1,0,1,1,ONC
AFAP1L2,0,1,0,1,1,ONC
AFF3,0,1,0,1,1,ONC
AGFG1,0,0,1,1,1,TSG
AGPS,0,1,0,1,1,ONC
AGTR1,0,0,1,1,1,TSG
AHNAK2,0,1,0,1,1,ONC
AIRE,0,1,0,1,1,ONC
AK4,1,0,0,1,0,DRV
AKR1B10,0,1,0,1,1,ONC
AKR1C1,1,0,0,1,0,DRV
AKR7A3,0,0,1,1,1,TSG
ALCAM,0,1,0,1,1,ONC
ALG1,0,1,0,1,1,ONC
ALG2,0,0,1,1,1,TSG
ALKBH3,0,0,1,1,1,TSG
ALLC,1,0,0,1,0,DRV
ALPK1,1,0,0,1,0,DRV
ALPP,0,1,0,1,1,ONC
ALX4,0,0,1,1,1,TSG
ALYREF,0,1,0,1,1,ONC
AMBN,0,0,1,1,1,TSG
AMH,0,0,1,1,1,TSG
ANAPC11,0,1,0,1,1,ONC
ANGPT1,0,0,1,1,1,TSG
ANGPTL1,0,0,1,1,1,TSG
ANKDD1A,0,0,1,1,1,TSG
ANKH,0,1,0,1,1,ONC
ANKHD1,0,1,0,1,1,ONC
ANKRD11,0,0,1,1,1,TSG
ANKRD18A,0,1,0,1,1,ONC
ANKRD36B,0,0,1,1,1,TSG
ANKRD49,0,1,0,1,1,ONC
ANLN,0,1,0,1,1,ONC
ANP32B,0,1,0,1,1,ONC
ANP32D,0,1,0,1,1,ONC
ANPEP,0,1,0,1,1,ONC
ANXA11,0,1,0,1,1,ONC
ANXA3,0,1,0,1,1,ONC
ANXA9,0,0,1,1,1,TSG
APOA1,0,1,0,1,1,ONC
APOC2,0,0,1,1,1,TSG
APPBP2,0,1,0,1,1,ONC
AQP3,0,1,0,1,1,ONC
AQP5,0,1,0,1,1,ONC
AQP7,0,1,0,1,1,ONC
ARAP3,0,1,0,1,1,ONC
ARF6,0,1,0,1,1,ONC
ARHGAP30,0,0,1,1,1,TSG
ARHGAP44,0,0,1,1,1,TSG
ARHGDIB,0,1,0,1,1,ONC
ARHGEF10,0,0,1,1,1,TSG
ARHGEF11,0,1,0,1,1,ONC
ARHGEF4,0,1,0,1,1,ONC
ARID3A,0,1,0,1,1,ONC
ARID3B,0,1,0,1,1,ONC
ARL6IP5,0,0,1,1,1,TSG
ARNT2,0,0,1,1,1,TSG
ARNTL2,1,0,0,1,0,DRV
ARPC1A,0,1,0,1,1,ONC
ARPC2,0,1,0,1,1,ONC
ARSB,0,0,1,1,1,TSG
ASAH1,0,1,0,1,1,ONC
ASAP1,0,1,0,1,1,ONC
ASAP3,0,1,0,1,1,ONC
ASF1A,0,1,0,1,1,ONC
ASPM,1,0,0,1,0,DRV
ASXL2,0,0,1,1,1,TSG
ATE1,1,0,0,1,0,DRV
ATF5,0,1,0,1,1,ONC
ATF7,0,0,1,1,1,TSG
ATG2B,1,0,0,1,0,DRV
ATG4B,0,1,0,1,1,ONC
ATG5,0,0,1,1,1,TSG
ATG7,1,0,0,1,0,DRV
ATOH8,0,1,0,1,1,ONC
ATP1B3,0,1,0,1,1,ONC
ATP2B2,1,0,0,1,0,DRV
ATXN2,1,0,0,1,0,DRV
AVP,0,1,0,1,1,ONC
AZIN1,0,1,0,1,1,ONC
B3GAT3,0,1,0,1,1,ONC
B3GNT3,0,1,0,1,1,ONC
B3GNT9,1,0,0,1,0,DRV
B4GALNT3,0,0,1,1,1,TSG
B9D1,0,0,1,1,1,TSG
BANK1,0,0,1,1,1,TSG
BARX2,0,0,1,1,1,TSG
BATF,0,1,0,1,1,ONC
BCAM,0,0,1,1,1,TSG
BCAN,0,1,0,1,1,ONC
BCAS1,0,1,0,1,1,ONC
BCCIP,0,1,0,1,1,ONC
BCKDHB,0,0,1,1,1,TSG
BCL2L10,0,1,0,1,1,ONC
BCL2L12,0,1,0,1,1,ONC
BCO2,0,0,1,1,1,TSG
BDH2,0,0,1,1,1,TSG
BHLHA15,0,0,1,1,1,TSG
BHLHE22,0,1,0,1,1,ONC
BHLHE40,0,0,1,1,1,TSG
BIRC6,0,1,0,1,1,ONC
BLM,0,1,0,1,1,ONC
BMF,0,0,1,1,1,TSG
BMP6,0,0,1,1,1,TSG
BMPR1A,0,0,1,1,1,TSG
BMX,0,1,0,1,1,ONC
BNC1,0,0,1,1,1,TSG
BOK,0,0,1,1,1,TSG
BOLL,0,1,0,1,1,ONC
BPIFA1,0,1,0,1,1,ONC
BPIFB1,0,0,1,1,1,TSG
BRCC3,0,1,0,1,1,ONC
BRIX1,0,0,1,1,1,TSG
BRMS1,0,0,1,1,1,TSG
BRMS1L,0,1,0,1,1,ONC
BRSK1,0,0,1,1,1,TSG
BTG4,0,0,1,1,1,TSG
BUB1,0,1,0,1,1,ONC
BUB1B,0,0,1,1,1,TSG
C10orf90,0,1,0,1,1,ONC
C1GALT1,0,1,0,1,1,ONC
C1QTNF1,0,1,0,1,1,ONC
C1QTNF8,0,1,0,1,1,ONC
C1orf87,0,1,0,1,1,ONC
C3orf52,0,0,1,1,1,TSG
C4orf3,1,0,0,1,0,DRV
C5AR1,1,0,0,1,0,DRV
C8orf76,0,1,0,1,1,ONC
CA1,0,1,0,1,1,ONC
CA8,0,1,0,1,1,ONC
CAB39L,0,0,1,1,1,TSG
CABYR,0,1,0,1,1,ONC
CACNA1D,0,1,0,1,1,ONC
CAD,0,0,1,1,1,TSG
CADM2,0,0,1,1,1,TSG
CALB1,0,1,0,1,1,ONC
CALCOCO2,1,0,0,1,0,DRV
CALM1,0,1,0,1,1,ONC
CALML3,0,1,0,1,1,ONC
CAP1,0,1,0,1,1,ONC
CAPN2,0,1,0,1,1,ONC
CAPN6,0,0,1,1,1,TSG
CAPN9,0,0,1,1,1,TSG
CAPS,0,1,0,1,1,ONC
CARD8,0,0,1,1,1,TSG
CASP1,0,0,1,1,1,TSG
CASP9,0,1,0,1,1,ONC
CAST,0,1,0,1,1,ONC
CBFA2T2,0,0,1,1,1,TSG
CBS,0,1,0,1,1,ONC
CBX3,0,1,0,1,1,ONC
CBX6,0,0,1,1,1,TSG
CCAR1,0,1,0,1,1,ONC
CCDC136,0,0,1,1,1,TSG
CCDC54,0,1,0,1,1,ONC
CCDC88A,0,1,0,1,1,ONC
CCL20,0,1,0,1,1,ONC
CCL26,0,1,0,1,1,ONC
CCL8,1,0,0,1,0,DRV
CCNB1,0,1,0,1,1,ONC
CCNK,0,1,0,1,1,ONC
CCPG1,0,1,0,1,1,ONC
CCR6,1,0,0,1,0,DRV
CCR9,0,1,0,1,1,ONC
CCRL2,0,0,1,1,1,TSG
CCS,1,0,0,1,0,DRV
CD109,0,1,0,1,1,ONC
CD163,0,1,0,1,1,ONC
CD164,0,0,1,1,1,TSG
CD1A,0,1,0,1,1,ONC
CD1D,0,0,1,1,1,TSG
CD276,0,1,0,1,1,ONC
CD46,0,1,0,1,1,ONC
CD47,1,0,0,1,0,DRV
CD5,0,0,1,1,1,TSG
CD55,0,1,0,1,1,ONC
CD58,0,0,1,1,1,TSG
CD68,1,0,0,1,0,DRV
CD81,0,0,1,1,1,TSG
CD86,1,0,0,1,0,DRV
CDC27,1,0,0,1,0,DRV
CDC45,0,1,0,1,1,ONC
CDH6,0,0,1,1,1,TSG
CDHR2,0,0,1,1,1,TSG
CDK19,0,1,0,1,1,ONC
CDYL,0,1,0,1,1,ONC
CEACAM19,0,1,0,1,1,ONC
CEBPE,0,1,0,1,1,ONC
CELF6,0,0,1,1,1,TSG
CEND1,1,0,0,1,0,DRV
CENPA,0,1,0,1,1,ONC
CENPK,0,1,0,1,1,ONC
CEP72,0,1,0,1,1,ONC
CFH,0,1,0,1,1,ONC
CHAF1A,0,1,0,1,1,ONC
CHD7,1,0,0,1,0,DRV
CHIC2,1,0,0,1,0,DRV
CHKA,0,1,0,1,1,ONC
CHMP4B,0,1,0,1,1,ONC
CHORDC1,1,0,0,1,0,DRV
CHRDL2,0,1,0,1,1,ONC
CHRM3,0,1,0,1,1,ONC
CIDEB,0,1,0,1,1,ONC
CISH,0,1,0,1,1,ONC
CIT,0,1,0,1,1,ONC
CITED2,0,0,1,1,1,TSG
CKS1B,0,1,0,1,1,ONC
CKS2,0,1,0,1,1,ONC
CLCA4,0,0,1,1,1,TSG
CLCN3,0,1,0,1,1,ONC
CLCN4,1,0,0,1,0,DRV
CLDN23,0,0,1,1,1,TSG
CLDN4,0,1,0,1,1,ONC
CLEC18B,0,1,0,1,1,ONC
CLEC4M,0,1,0,1,1,ONC
CLIC1,0,1,0,1,1,ONC
CLK1,0,1,0,1,1,ONC
CLPTM1L,0,1,0,1,1,ONC
CMPK1,0,1,0,1,1,ONC
CNKSR1,0,1,0,1,1,ONC
CNOT7,0,0,1,1,1,TSG
CNR1,0,0,1,1,1,TSG
CNR2,0,1,0,1,1,ONC
CNTN2,0,0,1,1,1,TSG
COLQ,0,1,0,1,1,ONC
COMMD10,0,0,1,1,1,TSG
COPB2,0,1,0,1,1,ONC
COPZ1,0,1,0,1,1,ONC
CORO1C,0,1,0,1,1,ONC
COTL1,0,1,0,1,1,ONC
COX4I1,0,1,0,1,1,ONC
CPA4,0,1,0,1,1,ONC
CPEB2,0,0,1,1,1,TSG
CPM,1,0,0,1,0,DRV
CPNE3,0,1,0,1,1,ONC
CPPED1,0,0,1,1,1,TSG
CPSF4,0,1,0,1,1,ONC
CPT1A,1,0,0,1,0,DRV
CR1,0,0,1,1,1,TSG
CRABP1,0,0,1,1,1,TSG
CRCT1,0,0,1,1,1,TSG
CREB3L1,0,0,1,1,1,TSG
CRH,0,1,0,1,1,ONC
CRMP1,0,0,1,1,1,TSG
CSDE1,0,1,0,1,1,ONC
CSNK2A1,0,1,0,1,1,ONC
CSPP1,0,1,0,1,1,ONC
CSRP1,0,0,1,1,1,TSG
CST1,0,1,0,1,1,ONC
CST3,0,1,0,1,1,ONC
CSTB,0,1,0,1,1,ONC
CTNNBIP1,1,0,0,1,0,DRV
CTSD,0,1,0,1,1,ONC
CTSH,0,1,0,1,1,ONC
CTSK,0,1,0,1,1,ONC
CTSZ,0,1,0,1,1,ONC
CUL2,0,1,0,1,1,ONC
CUL5,0,0,1,1,1,TSG
CUX2,0,1,0,1,1,ONC
CWC27,0,1,0,1,1,ONC
CXCL11,0,0,1,1,1,TSG
CXCL17,0,1,0,1,1,ONC
CXCL3,0,1,0,1,1,ONC
CXCR1,0,1,0,1,1,ONC
CXCR3,1,0,0,1,0,DRV
CXXC1,0,1,0,1,1,ONC
CXXC5,0,1,0,1,1,ONC
CYB5D2,0,0,1,1,1,TSG
CYB5R2,0,0,1,1,1,TSG
CYP1A1,0,1,0,1,1,ONC
CYP1B1,1,0,0,1,0,DRV
CYP2D6,0,0,1,1,1,TSG
CYP2E1,0,0,1,1,1,TSG
CYP3A5,0,0,1,1,1,TSG
CYP4V2,0,1,0,1,1,ONC
D2HGDH,1,0,0,1,0,DRV
DAAM1,0,1,0,1,1,ONC
DAB1,0,0,1,1,1,TSG
DAPK3,0,0,1,1,1,TSG
DAXX,0,1,0,1,1,ONC
DAZAP1,0,1,0,1,1,ONC
DBH,0,1,0,1,1,ONC
DBN1,0,1,0,1,1,ONC
DCAF6,0,0,1,1,1,TSG
DCLK1,0,0,1,1,1,TSG
DCLK3,0,1,0,1,1,ONC
DDB1,0,1,0,1,1,ONC
DDHD2,0,1,0,1,1,ONC
DDRGK1,0,0,1,1,1,TSG
DDT,0,1,0,1,1,ONC
DDX10,0,1,0,1,1,ONC
DDX23,0,1,0,1,1,ONC
DEFB4A,0,1,0,1,1,ONC
DFFA,0,1,0,1,1,ONC
DGCR8,0,1,0,1,1,ONC
DGKB,0,1,0,1,1,ONC
DGKG,0,0,1,1,1,TSG
DGKZ,0,1,0,1,1,ONC
DHH,0,1,0,1,1,ONC
DHRS7,0,0,1,1,1,TSG
DHX15,0,0,1,1,1,TSG
DIDO1,0,0,1,1,1,TSG
DIMT1,0,1,0,1,1,ONC
DKK4,0,1,0,1,1,ONC
DLG5,0,0,1,1,1,TSG
DLL3,0,1,0,1,1,ONC
DLST,1,0,0,1,0,DRV
DLX1,0,1,0,1,1,ONC
DMGDH,0,1,0,1,1,ONC
DMKN,0,1,0,1,1,ONC
DNAH5,0,1,0,1,1,ONC
DNAJB6,0,1,0,1,1,ONC
DNAJC11,0,0,1,1,1,TSG
DNAJC2,0,0,1,1,1,TSG
DNAJC25,0,0,1,1,1,TSG
DNALI1,0,0,1,1,1,TSG
DND1,0,0,1,1,1,TSG
DNM2,0,1,0,1,1,ONC
DNTTIP1,0,1,0,1,1,ONC
DOC2A,0,0,1,1,1,TSG
DOC2B,0,0,1,1,1,TSG
DOK6,0,1,0,1,1,ONC
DPH3,0,0,1,1,1,TSG
DRAM2,0,1,0,1,1,ONC
DRD1,0,0,1,1,1,TSG
DROSHA,0,0,1,1,1,TSG
DSC2,0,0,1,1,1,TSG
DSCAM,0,1,0,1,1,ONC
DSN1,1,0,0,1,0,DRV
DST,1,0,0,1,0,DRV
DTNB,0,0,1,1,1,TSG
DTWD1,0,0,1,1,1,TSG
DTX3L,0,0,1,1,1,TSG
DTYMK,0,1,0,1,1,ONC
DUOX1,0,0,1,1,1,TSG
DUSP10,0,0,1,1,1,TSG
DUSP2,0,0,1,1,1,TSG
DUSP8,0,1,0,1,1,ONC
DYNC1H1,1,0,0,1,0,DRV
E2F4,0,1,0,1,1,ONC
E2F7,0,1,0,1,1,ONC
EBF1,1,0,0,1,0,DRV
EBP,0,0,1,1,1,TSG
EDA2R,0,0,1,1,1,TSG
EDAR,0,0,1,1,1,TSG
EDIL3,1,0,0,1,0,DRV
EED,0,0,1,1,1,TSG
EEF1A1,0,1,0,1,1,ONC
EEF1D,0,1,0,1,1,ONC
EEF1E1,0,0,1,1,1,TSG
EFEMP2,0,1,0,1,1,ONC
EFNA3,0,0,1,1,1,TSG
EGR4,0,1,0,1,1,ONC
EHMT1,0,0,1,1,1,TSG
EIF3A,0,1,0,1,1,ONC
EIF3F,0,0,1,1,1,TSG
EIF3H,0,1,0,1,1,ONC
EIF3I,0,1,0,1,1,ONC
EIF4A1,0,1,0,1,1,ONC
EIF4B,0,1,0,1,1,ONC
EIF4G1,0,1,0,1,1,ONC
ELAVL4,0,1,0,1,1,ONC
ELFN2,0,1,0,1,1,ONC
ELL,0,0,1,1,1,TSG
ELMO3,0,1,0,1,1,ONC
ELN,1,0,0,1,0,DRV
ELOVL6,0,1,0,1,1,ONC
ENG,1,0,0,1,0,DRV
ENKUR,0,0,1,1,1,TSG
ENSA,0,1,0,1,1,ONC
EPAS1,1,0,0,1,0,DRV
EPB41L1,0,0,1,1,1,TSG
EPB41L2,0,1,0,1,1,ONC
EPG5,0,0,1,1,1,TSG
EPHA4,0,0,1,1,1,TSG
EPHA8,0,1,0,1,1,ONC
EPHB1,0,0,1,1,1,TSG
EPHX2,0,0,1,1,1,TSG
EPS8L3,0,1,0,1,1,ONC
ERCC1,0,1,0,1,1,ONC
ERCC2,0,1,0,1,1,ONC
ERCC6,0,0,1,1,1,TSG
ERCC6L,0,1,0,1,1,ONC
ERCC8,0,1,0,1,1,ONC
ERLIN2,0,1,0,1,1,ONC
ERN1,0,1,0,1,1,ONC
ERV3-1,0,0,1,1,1,TSG
ESPN,0,1,0,1,1,ONC
ESRRA,0,1,0,1,1,ONC
ETF1,0,0,1,1,1,TSG
ETV3,0,0,1,1,1,TSG
ETV5,0,1,0,1,1,ONC
EVI5,0,1,0,1,1,ONC
EXD3,0,1,0,1,1,ONC
EXOC7,0,1,0,1,1,ONC
EXOSC1,0,0,1,1,1,TSG
EXOSC4,0,1,0,1,1,ONC
F3,1,0,0,1,0,DRV
F7,1,0,0,1,0,DRV
FABP1,0,0,1,1,1,TSG
FABP5,1,0,0,1,0,DRV
FABP7,0,0,1,1,1,TSG
FADD,0,1,0,1,1,ONC
FAF1,0,0,1,1,1,TSG
FAM163A,0,1,0,1,1,ONC
FAM172A,0,0,1,1,1,TSG
FAM3C,0,1,0,1,1,ONC
FAM83F,0,1,0,1,1,ONC
FANCA,0,1,0,1,1,ONC
FANCD2,1,0,0,1,0,DRV
FANCM,0,0,1,1,1,TSG
FAP,0,1,0,1,1,ONC
FBLN1,0,0,1,1,1,TSG
FBLN5,0,0,1,1,1,TSG
FBN2,1,0,0,1,0,DRV
FBXL18,0,1,0,1,1,ONC
FBXL5,0,1,0,1,1,ONC
FBXL7,0,0,1,1,1,TSG
FBXO16,0,0,1,1,1,TSG
FBXO22,0,1,0,1,1,ONC
FBXO28,0,1,0,1,1,ONC
FBXO9,0,1,0,1,1,ONC
FBXW12,0,0,1,1,1,TSG
FBXW2,0,0,1,1,1,TSG
FBXW4,0,0,1,1,1,TSG
FDPS,0,1,0,1,1,ONC
FECH,0,0,1,1,1,TSG
FER,0,1,0,1,1,ONC
FEZF2,0,0,1,1,1,TSG
FGF13,1,0,0,1,0,DRV
FGF23,0,1,0,1,1,ONC
FGL1,0,0,1,1,1,TSG
FIGN,1,0,0,1,0,DRV
FKBP14,0,1,0,1,1,ONC
FLNC,0,0,1,1,1,TSG
FLVCR2,0,1,0,1,1,ONC
FMN2,0,1,0,1,1,ONC
FMNL2,0,1,0,1,1,ONC
FMNL3,0,1,0,1,1,ONC
FMO2,0,0,1,1,1,TSG
FNDC1,0,1,0,1,1,ONC
FNIP1,0,0,1,1,1,TSG
FNIP2,0,0,1,1,1,TSG
FOXE1,0,0,1,1,1,TSG
FOXJ1,0,0,1,1,1,TSG
FOXN1,0,0,1,1,1,TSG
FOXP4,0,1,0,1,1,ONC
FPR2,0,1,0,1,1,ONC
FRMD6,0,0,1,1,1,TSG
FRMPD1,0,0,1,1,1,TSG
FSHR,0,1,0,1,1,ONC
FSIP1,0,1,0,1,1,ONC
FST,0,1,0,1,1,ONC
FSTL3,0,1,0,1,1,ONC
FTCD,0,0,1,1,1,TSG
FTH1,0,1,0,1,1,ONC
FXN,0,0,1,1,1,TSG
FZD10,0,1,0,1,1,ONC
FZD2,1,0,0,1,0,DRV
FZD6,1,0,0,1,0,DRV
FZD8,0,1,0,1,1,ONC
G0S2,0,0,1,1,1,TSG
GAB1,0,1,0,1,1,ONC
GABARAPL1,0,0,1,1,1,TSG
GABRQ,0,1,0,1,1,ONC
GAD1,0,1,0,1,1,ONC
GALNT1,1,0,0,1,0,DRV
GALNT3,0,1,0,1,1,ONC
GALNT5,0,1,0,1,1,ONC
GALNT6,0,1,0,1,1,ONC
GALNT7,0,1,0,1,1,ONC
GART,0,1,0,1,1,ONC
GATAD1,1,0,0,1,0,DRV
GBA,0,1,0,1,1,ONC
GCA,0,1,0,1,1,ONC
GCG,0,1,0,1,1,ONC
GCNT3,1,0,0,1,0,DRV
GCNT4,0,1,0,1,1,ONC
GDF6,0,1,0,1,1,ONC
GDI2,0,0,1,1,1,TSG
GEN1,0,0,1,1,1,TSG
GGA1,0,1,0,1,1,ONC
GGH,0,0,1,1,1,TSG
GGT1,0,1,0,1,1,ONC
GHR,0,1,0,1,1,ONC
GINS2,0,1,0,1,1,ONC
GINS4,0,1,0,1,1,ONC
GIP,0,1,0,1,1,ONC
GIPC1,0,0,1,1,1,TSG
GIT1,0,1,0,1,1,ONC
GJA3,0,1,0,1,1,ONC
GJB3,0,0,1,1,1,TSG
GKN2,0,0,1,1,1,TSG
GLA,0,1,0,1,1,ONC
GLCE,0,1,0,1,1,ONC
GLUL,0,1,0,1,1,ONC
GMDS,1,0,0,1,0,DRV
GMPR,1,0,0,1,0,DRV
GMPS,0,1,0,1,1,ONC
GNA14,0,1,0,1,1,ONC
GNG11,0,0,1,1,1,TSG
GNL3,0,1,0,1,1,ONC
GNPTAB,0,1,0,1,1,ONC
GNRHR,0,0,1,1,1,TSG
GOLGA2,0,0,1,1,1,TSG
GOLIM4,0,1,0,1,1,ONC
GOT1,0,1,0,1,1,ONC
GOT2,0,1,0,1,1,ONC
GP2,0,1,0,1,1,ONC
GPAA1,0,1,0,1,1,ONC
GPC1,0,1,0,1,1,ONC
GPD1,0,0,1,1,1,TSG
GPI,0,1,0,1,1,ONC
GPLD1,1,0,0,1,0,DRV
GPR35,0,1,0,1,1,ONC
GPR68,0,0,1,1,1,TSG
GPS1,0,0,1,1,1,TSG
GPT2,1,0,0,1,0,DRV
GPX2,0,1,0,1,1,ONC
GRIK3,0,1,0,1,1,ONC
GRINA,0,1,0,1,1,ONC
GRM3,0,1,0,1,1,ONC
GRM4,0,0,1,1,1,TSG
GSDMA,0,0,1,1,1,TSG
GSK3A,0,1,0,1,1,ONC
GSK3B,0,1,0,1,1,ONC
GSX2,0,0,1,1,1,TSG
GTF2IRD1,1,0,0,1,0,DRV
GXYLT2,0,0,1,1,1,TSG
HAT1,0,1,0,1,1,ONC
HBB,0,1,0,1,1,ONC
HCFC1,0,0,1,1,1,TSG
HCFC1R1,0,1,0,1,1,ONC
HCK,0,1,0,1,1,ONC
HDAC11,0,0,1,1,1,TSG
HDAC5,0,0,1,1,1,TSG
HDAC7,0,1,0,1,1,ONC
HDAC8,1,0,0,1,0,DRV
HELZ,0,0,1,1,1,TSG
HES3,0,0,1,1,1,TSG
HEXA,0,0,1,1,1,TSG
HEY1,0,1,0,1,1,ONC
HGD,0,0,1,1,1,TSG
HGS,0,1,0,1,1,ONC
HHATL,0,0,1,1,1,TSG
HHIP,0,1,0,1,1,ONC
HIF1AN,0,0,1,1,1,TSG
HINT2,0,0,1,1,1,TSG
HK3,1,0,0,1,0,DRV
HLA-B,0,1,0,1,1,ONC
HLA-F,0,1,0,1,1,ONC
HLA-G,0,1,0,1,1,ONC
HLTF,0,0,1,1,1,TSG
HLX,0,0,1,1,1,TSG
HMGN2,0,1,0,1,1,ONC
HNF4G,0,1,0,1,1,ONC
HNRNPL,0,1,0,1,1,ONC
HOMER1,0,1,0,1,1,ONC
HORMAD1,0,1,0,1,1,ONC
HOXA3,0,1,0,1,1,ONC
HOXB1,0,0,1,1,1,TSG
HOXB7,0,1,0,1,1,ONC
HOXB9,0,0,1,1,1,TSG
HOXC10,0,1,0,1,1,ONC
HOXC12,0,0,1,1,1,TSG
HOXC5,0,0,1,1,1,TSG
HOXC9,0,1,0,1,1,ONC
HOXD13,0,0,1,1,1,TSG
HOXD8,0,0,1,1,1,TSG
HPN,0,1,0,1,1,ONC
HRC,0,0,1,1,1,TSG
HSD11B1,0,1,0,1,1,ONC
HSD17B4,0,0,1,1,1,TSG
HSDL2,0,1,0,1,1,ONC
HSF2,0,0,1,1,1,TSG
HSP90AB1,0,1,0,1,1,ONC
HSP90B1,0,1,0,1,1,ONC
HSPA2,0,1,0,1,1,ONC
HSPA5,0,0,1,1,1,TSG
HSPB7,0,0,1,1,1,TSG
HUS1,0,1,0,1,1,ONC
ICK,0,1,0,1,1,ONC
IDS,1,0,0,1,0,DRV
IER3,0,0,1,1,1,TSG
IFI30,0,0,1,1,1,TSG
IFI44L,0,0,1,1,1,TSG
IFI6,0,1,0,1,1,ONC
IFIT2,0,0,1,1,1,TSG
IFIT3,0,0,1,1,1,TSG
IFIT5,0,1,0,1,1,ONC
IFNAR1,0,0,1,1,1,TSG
IFNB1,0,1,0,1,1,ONC
IFNGR1,0,0,1,1,1,TSG
IGF2BP3,0,1,0,1,1,ONC
IGFBP1,0,0,1,1,1,TSG
IGFBP4,0,0,1,1,1,TSG
IK,0,0,1,1,1,TSG
IKZF5,0,1,0,1,1,ONC
IL12B,0,1,0,1,1,ONC
IL23A,1,0,0,1,0,DRV
IL25,0,1,0,1,1,ONC
IL27,0,1,0,1,1,ONC
IL27RA,0,0,1,1,1,TSG
IL31,0,1,0,1,1,ONC
IL37,0,0,1,1,1,TSG
IL4,0,1,0,1,1,ONC
IL6ST,0,0,1,1,1,TSG
IL7,1,0,0,1,0,DRV
ILKAP,0,1,0,1,1,ONC
INCA1,1,0,0,1,0,DRV
INO80C,0,0,1,1,1,TSG
INPP4A,0,0,1,1,1,TSG
INS-IGF2,0,1,0,1,1,ONC
IPO7,0,1,0,1,1,ONC
IQGAP3,0,1,0,1,1,ONC
IQUB,0,1,0,1,1,ONC
IRAK2,0,1,0,1,1,ONC
IRF2,0,1,0,1,1,ONC
IRF7,0,1,0,1,1,ONC
IRS1,0,1,0,1,1,ONC
IRS4,0,1,0,1,1,ONC
IRX4,0,0,1,1,1,TSG
IRX5,0,1,0,1,1,ONC
ISCU,0,1,0,1,1,ONC
ITGA3,0,1,0,1,1,ONC
ITGAM,1,0,0,1,0,DRV
ITGB1,0,1,0,1,1,ONC
ITGB4,0,1,0,1,1,ONC
ITGBL1,0,0,1,1,1,TSG
ITK,1,0,0,1,0,DRV
ITM2B,0,1,0,1,1,ONC
