CellLine,Gene,Sample,FC,n,stderr,pvalue,order,order2,Color
A172 (Day 5),LV-pCDH,SCR,1,4,0.025235241,,1,1,#F8766D
A172 (Day 5),LV-pCDH,miR-544,0.216438356,4,0.098172454,*,3,1,#00A9FF
U251 (Day 5),LV-pCDH,SCR,1,4,0.282793655,,1,2,#E68613
U251 (Day 5),LV-pCDH,miR-544,0.719354839,4,0.069386089,,3,2,#00BFC4
T98G (Day 5),LV-pCDH,SCR,1,4,0.021227987,,1,1,#F8766D
T98G (Day 5),LV-pCDH,miR-544,0.664335664,4,0.047600415,*,3,1,#00A9FF
